HP,SampleSize,TotalNBV,AvgNBV,TotalUpd,AvgUpd
1,50,4.52827,0.125785,0.0519469,0.00199796
2,50,13.7625,0.208523,0.110213,0.00196808
3,50,29.5679,0.339861,0.162007,0.00202509
4,50,45.1668,0.451668,0.207648,0.00207648
5,50,60.0743,0.600743,0.213209,0.00213209
6,50,63.2812,0.632812,0.217679,0.00217679
7,50,56.6069,0.566069,0.223925,0.00223925
8,50,69.4839,0.694839,0.226048,0.00226048
9,50,70.8599,0.708599,0.22908,0.0022908
10,50,73.4856,0.734856,0.228462,0.00228462
11,50,66.0305,0.660305,0.222778,0.00222778
12,50,71.9464,0.719464,0.213866,0.00213866
13,50,86.6908,0.866908,0.229234,0.00229234
14,50,78.4598,0.784598,0.221816,0.00221816
15,50,92.1274,0.921274,0.222271,0.00222271
1,100,7.48187,0.166264,0.0800597,0.00228742
2,100,26.5424,0.319788,0.17112,0.0022816
3,100,50.2339,0.502339,0.241979,0.00241979
4,100,74.8916,0.748916,0.25649,0.0025649
5,100,83.9582,0.839582,0.264347,0.00264347
6,100,78.2985,0.782985,0.252183,0.00252183
7,100,92.3082,0.923082,0.257133,0.00257133
8,100,89.6195,0.896195,0.259325,0.00259325
9,100,93.0708,0.930708,0.263414,0.00263414
10,100,101.44,1.0144,0.273167,0.00273167
11,100,100.162,1.00162,0.276063,0.00276063
12,100,108.172,1.08172,0.273618,0.00273618
13,100,124.415,1.24415,0.282753,0.00282753
14,100,129.782,1.29782,0.264989,0.00264989
15,100,155.27,1.5527,0.283397,0.00283397
1,150,11.5831,0.206841,0.117829,0.0025615
2,150,63.6382,0.64937,0.251766,0.00265017
3,150,78.2588,0.782588,0.29701,0.0029701
4,150,96.8557,0.968557,0.311993,0.00311993
5,150,108.852,1.08852,0.300169,0.00300169
6,150,112.572,1.12572,0.304054,0.00304054
7,150,136.605,1.36605,0.311209,0.00311209
8,150,148.866,1.48866,0.307339,0.00307339
9,150,141.447,1.41447,0.311071,0.00311071
10,150,144.144,1.44144,0.322856,0.00322856
11,150,141.926,1.41926,0.335323,0.00335323
12,150,151.659,1.51659,0.329557,0.00329557
13,150,172.393,1.72393,0.325527,0.00325527
14,150,182.451,1.82451,0.331683,0.00331683
15,150,190.618,1.90618,0.327127,0.00327127
1,200,13.0951,0.225778,0.142214,0.0029628
2,200,64.8863,0.648863,0.301555,0.00304601
3,200,88.6264,0.886264,0.340087,0.00340087
4,200,107.661,1.07661,0.34484,0.0034484
5,200,141.678,1.41678,0.338027,0.00338027
6,200,156.586,1.56586,0.347338,0.00347338
7,200,143.764,1.43764,0.344382,0.00344382
8,200,171.572,1.71572,0.354318,0.00354318
9,200,168.668,1.68668,0.360145,0.00360145
10,200,178.705,1.78705,0.353272,0.00353272
11,200,174.533,1.74533,0.370915,0.00370915
12,200,190.141,1.90141,0.371746,0.00371746
13,200,199.358,1.99358,0.380231,0.00380231
14,200,211.41,2.1141,0.373938,0.00373938
15,200,242.259,2.42259,0.381651,0.00381651
1,250,20.6272,0.312533,0.175181,0.00312824
2,250,70.5838,0.720243,0.305336,0.00314779
3,250,116.211,1.16211,0.362167,0.00362167
4,250,123.85,1.2385,0.366055,0.00366055
5,250,166.029,1.66029,0.373976,0.00373976
6,250,176.098,1.76098,0.375344,0.00375344
7,250,201.628,2.01628,0.39261,0.0039261
8,250,198.169,1.98169,0.380814,0.00380814
9,250,216.14,2.1614,0.408688,0.00408688
10,250,222.388,2.22388,0.421784,0.00421784
11,250,203.392,2.03392,0.42735,0.0042735
12,250,220.248,2.20248,0.432144,0.00432144
13,250,237.549,2.37549,0.431419,0.00431419
14,250,260.846,2.60846,0.438484,0.00438484
15,250,278.748,2.78748,0.452717,0.00452717
1,300,23.1635,0.361929,0.183074,0.00339027
2,300,81.9636,0.819636,0.375552,0.00375552
3,300,127.714,1.27714,0.421807,0.00421807
4,300,168.812,1.68812,0.420315,0.00420315
5,300,192.446,1.92446,0.426936,0.00426936
6,300,207.654,2.07654,0.420688,0.00420688
7,300,229.442,2.29442,0.435528,0.00435528
8,300,224.83,2.2483,0.444399,0.00444399
9,300,237.434,2.37434,0.447578,0.00447578
10,300,251.268,2.51268,0.456354,0.00456354
11,300,246.92,2.4692,0.493216,0.00493216
12,300,267.708,2.67708,0.502514,0.00502514
13,300,299.703,2.99703,0.512276,0.00512276
14,300,302.303,3.02303,0.514399,0.00514399
15,300,331.793,3.31793,0.511115,0.00511115
1,350,25.1279,0.339566,0.239387,0.00374043
2,350,111.608,1.11608,0.418603,0.00418603
3,350,159.867,1.59867,0.450517,0.00450517
4,350,195.474,1.95474,0.437543,0.00437543
5,350,235.125,2.35125,0.468474,0.00468474
6,350,210.253,2.10253,0.476213,0.00476213
7,350,252.165,2.52165,0.487271,0.00487271
8,350,272.441,2.72441,0.494149,0.00494149
9,350,265.151,2.65151,0.503971,0.00503971
10,350,296.533,2.96533,0.514237,0.00514237
11,350,273.595,2.73595,0.552639,0.00552639
12,350,298.35,2.9835,0.555021,0.00555021
13,350,328.031,3.28031,0.580603,0.00580603
14,350,345.333,3.45333,0.577739,0.00577739
15,350,375.195,3.75195,0.565284,0.00565284
1,400,29.9341,0.415751,0.231842,0.00373939
2,400,118.647,1.18647,0.438481,0.00438481
3,400,193.892,1.93892,0.488387,0.00488387
4,400,210.677,2.10677,0.502834,0.00502834
5,400,292.944,2.92944,0.49202,0.0049202
6,400,254.966,2.54966,0.513202,0.00513202
7,400,273.186,2.73186,0.524936,0.00524936
8,400,271.396,2.71396,0.55413,0.0055413
9,400,295.886,2.95886,0.577941,0.00577941
10,400,319.724,3.19724,0.601573,0.00601573
11,400,308.317,3.08317,0.600498,0.00600498
12,400,334.514,3.34514,0.594516,0.00594516
13,400,362.828,3.62828,0.620717,0.00620717
14,400,396.888,3.96888,0.593888,0.00593888
