HP,SampleSize,TotalNBV,AvgNBV,TotalUpd,AvgUpd
1,50,0.952508,0.317503,0.00465068,0.00232534
2,50,1.02141,0.170236,0.0103045,0.0020609
3,50,2.96851,0.296851,0.0203341,0.00203341
4,50,3.45756,0.345756,0.021084,0.0021084
5,50,3.88416,0.388416,0.0234323,0.00234323
6,50,4.65284,0.465284,0.0229127,0.00229127
7,50,7.97842,0.797842,0.0228832,0.00228832
8,50,6.84196,0.684196,0.0220272,0.00220272
9,50,5.47265,0.547265,0.0220902,0.00220902
10,50,6.02672,0.602672,0.0214335,0.00214335
11,50,5.58929,0.558929,0.023499,0.0023499
12,50,8.00152,0.800152,0.0218906,0.00218906
13,50,10.6254,1.06254,0.0224744,0.00224744
14,50,6.99923,0.699923,0.0227759,0.00227759
15,50,7.51237,0.751237,0.0232211,0.00232211
1,100,0.551986,0.110397,0.00875644,0.00218911
2,100,2.38613,0.238613,0.0199237,0.00199237
3,100,6.17882,0.617882,0.0230866,0.00230866
4,100,8.08457,0.808457,0.0251427,0.00251427
5,100,5.93907,0.593907,0.0239093,0.00239093
6,100,8.39921,0.839921,0.0255513,0.00255513
7,100,9.54569,0.954569,0.0244192,0.00244192
8,100,7.83546,0.783546,0.0250477,0.00250477
9,100,9.09299,0.909299,0.0262132,0.00262132
10,100,9.941,0.9941,0.0280622,0.00280622
11,100,9.02859,0.902859,0.0256155,0.00256155
12,100,9.82782,0.982782,0.0270327,0.00270327
13,100,10.5498,1.05498,0.0236485,0.00236485
14,100,17.4842,1.74842,0.0250402,0.00250402
15,100,13.9657,1.39657,0.0278132,0.00278132
1,150,0.565885,0.113177,0.00907933,0.00226983
2,150,3.98498,0.398498,0.0238313,0.00238313
3,150,6.13274,0.613274,0.0296933,0.00296933
4,150,5.6678,0.56678,0.0289834,0.00289834
5,150,10.1769,1.01769,0.0308683,0.00308683
6,150,11.6162,1.16162,0.0311888,0.00311888
7,150,15.8389,1.58389,0.0304746,0.00304746
8,150,10.8662,1.08662,0.0338923,0.00338923
9,150,13.7874,1.37874,0.0303755,0.00303755
10,150,12.4925,1.24925,0.0284271,0.00284271
11,150,12.6226,1.26226,0.031442,0.0031442
12,150,13.8372,1.38372,0.0292527,0.00292527
13,150,14.9537,1.49537,0.0319879,0.00319879
14,150,15.9534,1.59534,0.0332628,0.00332628
15,150,17.6433,1.76433,0.034466,0.0034466
1,200,1.34534,0.224223,0.0140393,0.00280786
2,200,6.56172,0.656172,0.0284339,0.00284339
3,200,11.5329,1.15329,0.0352788,0.00352788
4,200,13.4267,1.34267,0.029572,0.0029572
5,200,12.3985,1.23985,0.0348669,0.00348669
6,200,16.3571,1.63571,0.0329286,0.00329286
7,200,11.3415,1.13415,0.0352672,0.00352672
8,200,12.9067,1.29067,0.0351794,0.00351794
9,200,15.6943,1.56943,0.0366893,0.00366893
10,200,18.0759,1.80759,0.0345984,0.00345984
11,200,16.5967,1.65967,0.0321052,0.00321052
12,200,17.7783,1.77783,0.0367614,0.00367614
13,200,19.2996,1.92996,0.0378651,0.00378651
14,200,20.8456,2.08456,0.0339055,0.00339055
15,200,22.6463,2.26463,0.0389325,0.00389325
1,250,1.80858,0.30143,0.0144417,0.00288834
2,250,6.25689,0.625689,0.0357567,0.00357567
3,250,8.00807,0.800807,0.0396825,0.00396825
4,250,9.56711,0.956711,0.0390189,0.00390189
5,250,11.4496,1.14496,0.0367628,0.00367628
6,250,16.9815,1.69815,0.0375034,0.00375034
7,250,18.3355,1.83355,0.0367422,0.00367422
8,250,20.8822,2.08822,0.0406946,0.00406946
9,250,23.9547,2.39547,0.0364043,0.00364043
10,250,22.0892,2.20892,0.0452248,0.00452248
11,250,20.1146,2.01146,0.0439306,0.00439306
12,250,22.0483,2.20483,0.0462606,0.00462606
13,250,23.8281,2.38281,0.0423938,0.00423938
14,250,25.5775,2.55775,0.0441857,0.00441857
15,250,27.8353,2.78353,0.0516583,0.00516583
1,300,2.93312,0.419017,0.0228225,0.00380375
2,300,7.02754,0.702754,0.0366737,0.00366737
3,300,9.55006,0.955006,0.0434492,0.00434492
4,300,24.1423,2.41423,0.0440849,0.00440849
5,300,15.4311,1.54311,0.043335,0.0043335
6,300,32.8472,3.28472,0.0442321,0.00442321
7,300,20.0239,2.00239,0.0461634,0.00461634
8,300,22.0365,2.20365,0.0467377,0.00467377
9,300,40.6495,4.06495,0.0472899,0.00472899
10,300,26.6636,2.66636,0.0485892,0.00485892
11,300,23.7924,2.37924,0.0503148,0.00503148
12,300,26.0594,2.60594,0.0488911,0.00488911
13,300,30.6273,3.06273,0.0550846,0.00550846
14,300,30.2298,3.02298,0.0539456,0.00539456
15,300,32.8297,3.28297,0.0513639,0.00513639
